hold_id,book_id,user_id,hold_date,end_hold_date
1,908,291,2023-07-07 09:42:51.105440,2023-07-17 16:47:12.771644
2,181,391,2018-10-04 18:17:39.165933,2018-10-05 01:18:26.808694
3,913,948,2018-04-19 19:30:59.504895,2018-04-21 03:20:51.876391
4,648,14,2020-03-23 19:02:09.159021,2020-03-25 11:44:01.689844
5,593,96,2016-08-20 18:11:42.375872,2016-08-27 09:20:21.180196
6,497,943,2021-06-23 07:36:03.995320,2021-07-02 23:58:52.806234
7,741,54,2019-07-06 12:23:13.913635,2019-07-11 20:30:19.663909
8,978,647,2020-04-11 08:09:12.484752,2020-04-16 10:46:41.323184
9,37,556,2023-12-09 17:20:06.569472,2023-12-12 02:29:02.024725
10,402,346,2023-01-24 00:48:28.227175,2023-01-25 18:14:36.308342
11,810,182,2017-03-03 04:31:03.280453,2017-03-13 11:31:10.934902
12,208,490,2019-06-19 10:23:53.835586,2019-06-30 19:33:39.802149
13,207,836,2016-04-26 16:45:55.524964,2016-04-29 17:57:50.842135
14,766,570,2017-06-03 12:51:11.204669,2017-06-04 08:46:57.264978
15,121,359,2020-04-14 21:17:40.926656,2020-04-19 18:54:15.204966
16,870,881,2016-01-10 09:51:16.744333,2016-01-22 13:00:08.304329
17,632,224,2019-07-26 09:18:56.165263,2019-07-31 22:44:58.754555
18,226,490,2015-11-17 03:07:35.877486,2015-11-28 15:55:42.332627
19,220,541,2017-08-27 22:33:02.198761,2017-09-10 05:38:02.508607
20,861,322,2018-02-08 17:39:33.129187,2018-02-12 02:57:20.863371
21,563,318,2019-06-01 16:52:19.738901,2019-06-02 17:47:35.102844
22,681,775,2022-01-28 02:58:58.057254,2022-02-03 05:08:58.134663
23,499,585,2019-04-30 22:06:34.109863,2019-05-06 14:25:42.111364
24,811,796,2019-02-04 15:47:05.560919,2019-02-11 19:41:42.633474
25,457,813,2015-09-30 07:48:05.558384,2015-10-12 23:36:46.380033
26,816,553,2021-04-17 12:01:40.951952,2021-04-27 19:42:57.187877
27,725,228,2015-06-16 06:29:35.812217,2015-06-24 07:14:13.408735
28,360,177,2020-02-11 15:52:26.554113,2020-02-19 05:33:19.025271
29,358,335,2018-06-20 06:38:24.660306,2018-07-01 22:32:19.158139
30,248,682,2019-02-07 00:10:39.608603,2019-02-17 07:07:49.794587
31,343,92,2019-07-14 12:22:38.710780,2019-07-27 19:30:34.013102
32,494,816,2023-11-18 22:34:26.364550,2023-11-20 01:47:24.090631
33,878,747,2019-10-19 12:34:56.449371,2019-10-30 15:58:19.599822
34,788,814,2022-12-11 02:15:47.320657,2022-12-16 15:05:45.143781
35,655,665,2023-11-02 08:17:00.453275,2023-11-03 17:38:38.328524
36,267,968,2023-07-16 11:22:44.030306,2023-07-19 01:27:07.958388
37,997,993,2019-07-08 12:39:51.732826,2019-07-16 14:09:48.179127
38,118,38,2021-04-03 18:40:15.005289,2021-04-05 00:47:08.452520
39,657,107,2020-10-26 06:43:28.601680,2020-10-28 14:16:47.724980
40,659,794,2020-04-18 01:30:54.674062,2020-04-24 09:19:02.244767
41,205,801,2015-05-02 05:20:20.647330,2015-05-11 07:36:13.538126
42,329,295,2020-07-17 08:04:08.481971,2020-07-31 10:49:49.880045
43,538,305,2018-04-09 19:59:53.910815,2018-04-12 12:58:36.574198
44,283,228,2022-08-25 15:14:26.116652,2022-08-30 19:31:26.649757
45,881,541,2022-10-21 15:09:59.787269,2022-11-01 18:43:50.507054
46,458,410,2018-04-26 08:49:02.161837,2018-05-05 02:13:36.012216
47,888,187,2019-12-25 20:17:05.577070,2019-12-30 23:05:07.104010
48,899,923,2022-05-30 17:46:46.010582,2022-06-08 15:56:01.388663
49,424,922,2019-02-17 09:42:26.336919,2019-02-21 09:01:55.543065
50,968,330,2016-12-27 08:59:26.460430,2017-01-01 23:55:03.116802
51,186,551,2016-02-06 18:40:59.368331,2016-02-17 07:07:59.386969
52,819,303,2018-10-30 05:34:26.566523,2018-11-13 20:54:02.218347
53,838,866,2019-03-02 14:32:24.400469,2019-03-08 10:23:52.265313
54,863,14,2019-10-09 04:11:30.099887,2019-10-22 01:48:56.204307
55,816,659,2021-10-02 11:41:19.368936,2021-10-11 06:24:02.865281
56,934,233,2016-11-30 11:19:13.311542,2016-12-12 11:33:43.519893
57,422,848,2019-03-01 14:28:54.294176,2019-03-06 08:52:10.933669
58,233,740,2023-08-28 16:25:27.143319,2023-09-10 03:32:12.444252
59,951,138,2021-10-30 01:09:30.283334,2021-11-13 15:22:22.189172
60,388,650,2019-07-01 19:25:18.295990,2019-07-09 06:20:36.084399
61,132,633,2015-06-05 04:56:08.464593,2015-06-08 14:20:29.517366
62,889,257,2018-10-12 11:56:12.609929,2018-10-17 16:22:29.542828
63,171,788,2022-10-31 14:35:25.747922,2022-11-06 06:27:58.004712
64,836,837,2018-01-27 18:45:26.073256,2018-02-09 19:40:30.802379
65,58,122,2019-10-11 11:29:43.334068,2019-10-24 10:27:45.415063
66,298,378,2022-05-27 04:58:53.093787,2022-06-06 21:28:13.619690
67,199,420,2021-05-31 14:24:36.902071,2021-06-10 17:49:29.659937
68,171,57,2015-10-12 19:12:45.397513,2015-10-19 22:21:45.439250
69,554,256,2023-07-24 08:25:15.593789,2023-07-26 06:18:09.802980
70,950,918,2021-07-02 16:05:51.016664,2021-07-12 21:52:58.850152
71,656,667,2021-10-09 05:35:45.065806,2021-10-10 09:37:46.282103
72,786,226,2015-08-20 19:31:06.131616,2015-08-25 06:01:05.837346
73,523,615,2019-11-26 06:05:13.447697,2019-12-08 23:37:19.440686
74,683,325,2016-08-14 06:28:34.042996,2016-08-23 12:20:52.470730
75,423,956,2023-03-29 20:30:44.198492,2023-03-30 08:51:06.555621
76,828,367,2019-09-14 07:01:51.741779,2019-09-25 01:57:16.567313
77,880,868,2019-05-28 12:00:27.349893,2019-06-11 08:25:53.428221
78,537,704,2017-10-16 07:50:59.380795,2017-10-28 14:16:11.636860
79,171,854,2017-08-04 06:10:43.074526,2017-08-08 04:34:29.473602
80,132,338,2015-07-18 00:54:37.869828,2015-07-25 10:43:50.476024
81,980,988,2018-02-09 16:09:11.196491,2018-02-23 21:50:43.296859
82,658,180,2022-01-17 04:20:20.618284,2022-01-18 08:55:50.073552
83,636,80,2021-11-02 05:41:11.817676,2021-11-03 10:06:10.872318
84,632,585,2022-06-14 03:31:43.517948,2022-06-24 16:25:48.669480
85,294,712,2020-12-24 18:38:34.782706,2020-12-29 16:46:58.594604
86,196,421,2020-01-09 21:56:10.931790,2020-01-11 13:37:41.599420
87,435,680,2016-02-03 10:54:18.763328,2016-02-04 02:07:17.523354
88,210,87,2015-01-23 22:43:51.993039,2015-02-01 00:53:02.263042
89,123,743,2020-09-29 14:02:06.497551,2020-10-13 20:54:57.498140
90,34,148,2023-08-13 20:55:54.547119,2023-08-18 03:45:23.910999
91,953,809,2023-10-19 03:14:44.897960,2023-11-01 12:47:41.769385
92,921,61,2015-12-03 12:33:01.840132,2015-12-12 16:49:36.504652
93,532,466,2018-01-24 02:35:33.904923,2018-01-30 06:44:31.132655
94,271,759,2023-08-19 22:38:10.381512,2023-08-28 05:00:43.001786
95,324,17,2018-10-12 13:53:56.716930,2018-10-13 23:32:12.650285
96,614,256,2020-03-02 00:27:55.518849,2020-03-05 10:17:05.509838
97,729,120,2020-04-27 05:26:13.472945,2020-05-05 20:56:30.093783
98,913,636,2015-05-03 12:38:59.064888,2015-05-05 19:00:12.687214
99,713,227,2019-04-02 00:57:39.020319,2019-04-12 04:27:31.742351
100,208,565,2023-03-14 03:39:32.380617,2023-03-16 14:52:09.494793
101,647,437,2015-11-18 04:12:39.845832,2015-11-28 13:54:09.712686
102,415,159,2016-07-21 17:04:47.415550,2016-08-02 23:25:06.989211
103,845,423,2020-08-02 06:59:01.317600,2020-08-16 01:23:49.409279
104,521,249,2023-09-13 22:49:37.339363,2023-09-17 19:28:19.239524
105,754,220,2016-08-23 23:20:10.375681,2016-09-01 03:19:06.911691
106,229,779,2019-04-18 04:07:27.264278,2019-05-02 15:06:52.864867
107,91,538,2016-04-03 21:46:24.665646,2016-04-07 11:05:00.023563
108,693,715,2019-03-08 00:26:38.186452,2019-03-11 07:10:45.363517
109,143,701,2017-07-30 23:23:04.784657,2017-08-07 06:04:51.874413
110,999,251,2017-08-24 15:11:39.782980,2017-08-27 20:56:30.975186
111,290,737,2016-06-09 19:39:53.896049,2016-06-18 21:59:02.542144
112,887,502,2021-06-07 18:00:22.010548,2021-06-21 03:48:12.081767
113,331,892,2016-08-04 01:49:28.410470,2016-08-05 12:26:23.066632
114,354,854,2015-03-14 16:45:34.039564,2015-03-15 16:06:16.425610
115,402,877,2023-02-13 03:29:20.783919,2023-02-19 22:13:43.371227
116,788,778,2016-11-28 02:18:56.627588,2016-12-04 06:54:07.993277
117,997,740,2020-06-04 04:06:34.815174,2020-06-12 23:25:12.916923
118,225,496,2015-01-10 08:06:09.973844,2015-01-21 03:56:11.428338
119,178,225,2018-04-04 16:04:47.166849,2018-04-05 03:15:35.478320
120,725,318,2023-05-20 16:56:29.426222,2023-05-23 04:37:14.042690
121,816,138,2018-03-08 13:50:56.305573,2018-03-12 10:35:49.301634
122,475,354,2022-02-15 11:02:48.799986,2022-02-22 15:02:25.358185
123,107,225,2018-09-15 10:33:32.550561,2018-09-17 21:46:44.807351
124,828,928,2018-01-06 21:38:12.297146,2018-01-11 16:13:48.729458
125,670,187,2016-10-23 16:42:43.851605,2016-11-05 08:28:29.586910
126,322,635,2015-03-05 11:52:21.811472,2015-03-10 04:10:13.232912
127,768,152,2023-09-09 04:33:11.656200,2023-09-22 10:33:19.848826
128,589,689,2023-10-10 14:42:26.231927,2023-10-11 13:02:44.713041
129,342,938,2016-04-20 20:48:38.498955,2016-05-02 18:37:37.400110
130,345,890,2020-03-12 19:24:18.306152,2020-03-17 00:57:34.395047
131,635,520,2016-10-30 04:04:22.840982,2016-10-31 14:01:32.550912
132,372,831,2016-03-06 20:25:59.143691,2016-03-07 11:10:19.588075
133,572,79,2017-10-11 21:28:11.660972,2017-10-25 19:54:57.561002
134,237,485,2015-06-25 12:58:16.122551,2015-07-01 00:31:12.921744
135,837,30,2021-08-10 14:50:57.395979,2021-08-14 18:52:19.067644
136,194,351,2021-12-28 19:44:38.444257,2022-01-02 13:38:07.406996
137,518,535,2016-04-04 20:28:35.092999,2016-04-14 20:46:37.805034
138,558,680,2016-05-30 04:49:47.895386,2016-06-05 17:41:29.749253
139,135,189,2020-12-17 15:07:04.284693,2020-12-31 01:13:56.328957
140,860,166,2017-11-01 10:10:04.957169,2017-11-07 00:54:53.844862
141,256,553,2019-04-23 20:40:48.163410,2019-04-30 02:44:42.884244
142,986,850,2019-09-29 11:10:35.983475,2019-10-08 23:01:54.028130
143,729,278,2023-03-14 06:10:15.525989,2023-03-23 15:32:45.259492
144,984,10,2018-03-08 14:26:37.722915,2018-03-09 02:21:39.456726
145,65,671,2021-07-28 20:40:44.748143,2021-08-10 22:52:36.833338
146,196,738,2016-05-18 01:10:23.139421,2016-05-19 16:03:52.572016
147,234,945,2016-10-12 22:28:11.186570,2016-10-20 02:42:21.938050
148,254,96,2017-04-05 02:12:55.223739,2017-04-14 07:55:48.112556
149,246,869,2020-03-12 18:25:01.834700,2020-03-24 14:22:43.036874
150,277,33,2020-10-24 09:38:45.211759,2020-10-25 14:19:19.982601
151,365,826,2018-02-07 13:06:13.919658,2018-02-19 23:59:02.718440
152,199,157,2016-05-02 09:38:17.817587,2016-05-12 18:28:55.973759
153,543,396,2022-01-03 04:57:09.293053,2022-01-11 20:00:53.359864
154,579,713,2021-09-30 00:09:35.492246,2021-10-02 05:55:21.875411
155,869,502,2016-02-04 09:15:46.996036,2016-02-12 07:29:30.291595
156,907,333,2015-11-19 07:21:56.423066,2015-11-24 08:10:29.068425
157,740,462,2023-07-15 21:15:08.080114,2023-07-27 23:23:56.377404
158,584,715,2022-08-12 05:19:28.333709,2022-08-16 07:36:43.279960
159,390,723,2023-10-12 06:42:06.944638,2023-10-16 03:24:09.703848
160,30,125,2017-02-09 03:50:43.385434,2017-02-14 17:22:20.402303
161,574,270,2016-06-10 11:17:14.862294,2016-06-17 01:18:38.676905
162,396,487,2018-04-14 13:15:15.530659,2018-04-28 14:33:01.234108
163,811,11,2021-01-26 06:50:54.915660,2021-02-03 08:11:54.789266
164,316,250,2018-09-02 12:21:11.955631,2018-09-13 08:20:06.030974
165,907,402,2022-02-13 04:23:59.146760,2022-02-17 12:17:35.123569
166,45,439,2023-03-12 08:09:03.770931,2023-03-15 17:21:47.183219
167,568,792,2023-04-01 23:04:32.599931,2023-04-10 18:32:33.488437
168,21,845,2015-04-17 03:43:38.583575,2015-04-27 16:18:34.500009
169,10,624,2016-08-14 00:01:07.644881,2016-08-15 09:56:26.689506
170,838,539,2015-07-31 04:57:35.081335,2015-08-10 23:22:52.486219
171,838,153,2015-08-14 16:12:38.068323,2015-08-27 10:52:15.469430
172,484,918,2018-07-13 15:51:30.088214,2018-07-18 16:04:51.762349
173,112,971,2020-08-20 16:34:00.274467,2020-08-28 10:19:17.975748
174,152,566,2018-03-24 01:19:43.781135,2018-04-07 03:46:57.739141
175,500,618,2019-01-23 05:56:53.241766,2019-01-27 19:47:04.436078
176,578,948,2021-12-13 11:49:19.424921,2021-12-14 20:10:41.293577
177,399,214,2016-10-19 01:08:16.184017,2016-11-01 10:40:38.697757
178,715,691,2023-07-28 04:07:14.273465,2023-08-08 04:42:24.871651
179,897,185,2015-10-06 08:57:55.949485,2015-10-17 23:42:09.004185
180,451,319,2018-06-11 07:56:01.811671,2018-06-23 15:38:09.759173
181,950,789,2022-04-30 08:57:39.612015,2022-05-05 17:31:01.432414
182,889,887,2016-04-25 22:06:01.639762,2016-04-29 16:12:01.240720
183,873,96,2023-04-12 11:56:31.003120,2023-04-15 01:38:40.996125
184,686,842,2022-05-12 05:03:43.796964,2022-05-23 23:50:01.014645
185,812,48,2021-10-21 14:08:25.900026,2021-10-27 09:19:25.598070
186,18,327,2023-07-29 03:34:51.166310,2023-08-06 05:06:34.822407
187,303,210,2017-10-13 23:32:13.454945,2017-10-23 13:45:05.960660
188,386,963,2023-02-08 19:42:29.667223,2023-02-22 15:59:50.399721
189,733,548,2022-10-31 18:09:17.100479,2022-11-12 15:59:23.303562
190,79,703,2020-04-09 04:53:31.541130,2020-04-20 00:04:00.970759
191,681,335,2019-10-10 02:30:52.658080,2019-10-20 09:21:48.727960
192,130,393,2018-03-23 18:47:34.151058,2018-03-26 22:10:11.793997
193,982,879,2015-11-09 02:52:29.079493,2015-11-19 23:20:49.117023
194,39,964,2019-04-13 08:25:42.846541,2019-04-15 01:00:57.069061
195,430,848,2018-12-13 16:51:50.000278,2018-12-19 06:31:43.120534
196,305,489,2016-12-01 22:07:57.629387,2016-12-10 11:26:26.492289
197,238,822,2023-08-13 04:41:54.622058,2023-08-20 15:56:45.412732
198,306,702,2018-01-18 17:10:37.643220,2018-01-29 09:30:14.402913
199,979,975,2021-04-30 16:44:13.553157,2021-05-04 04:06:32.900816
200,226,623,2016-02-07 08:00:09.041620,2016-02-13 13:12:30.644289
201,410,62,2019-07-04 11:53:30.742999,2019-07-10 20:13:23.343101
202,254,444,2021-06-26 15:29:04.388180,2021-06-27 20:06:57.130554
203,660,602,2017-05-24 10:04:45.566938,2017-05-26 16:39:24.101700
204,794,768,2017-06-02 00:27:30.827513,2017-06-08 10:16:58.374263
205,302,603,2015-11-28 08:37:40.836094,2015-12-11 08:51:16.586083
206,609,774,2022-12-20 14:02:54.462059,2022-12-21 07:15:02.240995
207,918,246,2020-11-07 13:12:55.254038,2020-11-14 11:58:28.491630
208,768,708,2016-04-12 00:51:06.718153,2016-04-21 10:53:45.091540
209,61,944,2016-11-04 13:25:23.418138,2016-11-16 02:07:35.259505
210,70,716,2022-09-15 09:59:40.883529,2022-09-23 06:53:39.894285
211,79,661,2023-05-24 22:45:17.190340,2023-05-31 08:07:34.673795
212,414,245,2022-02-17 23:33:01.474110,2022-02-27 00:15:30.656946
213,201,526,2015-08-23 07:56:04.814259,2015-08-27 18:18:26.343768
214,274,460,2017-06-07 12:21:08.471037,2017-06-21 03:07:14.473812
215,599,438,2015-06-19 17:09:34.355319,2015-06-25 16:25:27.490662
216,296,50,2017-12-07 23:37:54.031058,2017-12-10 12:06:19.960175
217,639,734,2019-06-07 12:31:44.680493,2019-06-13 01:36:49.595754
218,100,536,2022-11-19 23:03:38.386980,2022-11-26 03:09:53.379523
219,118,914,2019-02-10 14:24:41.528222,2019-02-19 03:18:51.625233
220,591,819,2021-10-06 11:39:43.309149,2021-10-15 22:22:58.241007
221,732,320,2022-11-06 07:17:26.373080,2022-11-14 04:13:42.131034
222,439,83,2019-09-28 10:16:25.505643,2019-09-30 21:45:52.243095
223,944,296,2022-12-28 14:31:14.791727,2022-12-29 01:07:49.550408
224,281,441,2018-07-19 02:25:38.498661,2018-07-29 13:18:29.869733
225,151,705,2023-09-23 15:19:25.749936,2023-09-27 21:57:38.480620
226,251,704,2018-11-24 05:30:33.795244,2018-11-27 19:26:38.545852
227,788,302,2017-02-04 20:47:27.463286,2017-02-16 11:52:50.761781
