loan_id,book_id,user_id,loan_date,return_date
1,880,209,2015-10-27 19:51:36.546955,2015-11-01 12:52:53.467005
2,558,167,2021-03-14 00:00:29.932282,2021-03-26 20:28:14.438614
3,118,26,2023-09-19 06:09:13.700887,2023-10-03 08:22:25.156792
4,238,552,2020-07-17 03:05:48.585427,2020-07-27 15:55:01.844225
5,356,462,2018-03-23 18:15:56.131552,2018-04-01 22:52:59.621656
6,18,969,2022-04-10 19:06:30.406403,2022-04-23 14:41:18.255974
7,36,972,2019-12-27 05:31:27.128435,2020-01-06 14:28:45.824160
8,280,309,2017-03-12 07:40:18.287869,2017-03-15 11:13:55.782392
9,322,688,2020-07-22 15:34:31.401858,2020-07-27 04:07:31.925075
10,625,270,2015-06-29 07:19:12.583851,2015-07-08 19:53:43.247472
11,147,971,2016-05-10 06:23:28.790847,2016-05-23 23:06:40.600970
12,832,79,2020-03-28 14:17:00.100197,2020-04-01 10:56:36.878051
13,256,651,2020-07-04 04:42:27.782223,2020-07-07 18:20:50.718101
14,632,344,2020-04-28 01:50:24.531352,2020-04-30 13:20:49.235497
15,252,337,2019-03-28 12:48:15.289550,2019-03-31 10:53:55.499677
16,531,8,2020-02-13 12:14:03.396962,2020-02-26 20:59:19.830780
17,797,211,2017-05-25 12:21:26.633709,2017-06-02 12:22:43.957355
18,118,524,2021-12-16 10:29:40.692634,2021-12-21 09:12:01.606790
19,255,638,2021-06-15 00:02:00.988015,2021-06-25 20:30:48.915656
20,587,884,2020-09-10 23:46:29.281806,2020-09-18 10:14:06.118747
21,377,451,2022-08-03 05:49:42.427921,2022-08-16 05:27:56.385901
22,608,389,2015-02-02 05:45:32.865154,2015-02-14 16:42:04.780981
23,308,71,2015-12-10 14:25:59.124308,2015-12-14 13:31:08.379947
24,607,978,2021-01-12 07:23:47.061266,2021-01-16 21:13:02.637490
25,400,471,2023-10-06 18:39:15.963540,2023-10-14 17:54:48.724597
26,381,101,2020-07-21 05:42:59.006559,2020-07-29 14:05:56.883364
27,125,426,2020-09-07 15:57:33.813587,2020-09-09 19:55:04.522365
28,220,291,2022-11-28 03:19:55.500106,2022-12-10 05:37:50.276667
29,267,455,2018-01-29 20:01:56.534673,2018-02-03 13:33:42.605090
30,877,173,2016-05-06 17:01:20.395229,2016-05-18 18:19:03.739884
31,444,204,2022-04-04 03:35:28.577069,2022-04-13 01:54:02.502974
32,614,472,2022-05-18 16:29:06.083428,2022-05-24 08:12:02.204600
33,487,945,2020-01-03 00:12:21.334766,2020-01-13 21:34:14.916588
34,26,489,2016-09-13 15:36:38.475912,2016-09-18 19:40:02.457038
35,854,39,2019-07-09 18:15:17.261116,2019-07-23 06:14:34.920774
36,413,124,2018-06-05 04:55:38.391981,2018-06-18 10:13:00.505271
37,339,65,2023-03-02 10:16:46.548939,2023-03-09 12:14:37.610984
38,339,97,2016-11-19 13:42:50.243682,2016-11-30 08:41:35.031444
